ts,avg_bwd,msgs,sys_time
0,0.00,0,0,16.78
300000,8.91,54086,377,53.51
600000,9.14,44745,259,137.32
900000,9.18,41197,224,131.07
1200000,9.23,38214,211,115.36
1500000,9.22,37092,238,253.84
1800000,9.23,36717,230,77.62
2100000,9.25,36192,205,209.81
2400000,9.25,35458,206,27.26
2700000,9.25,35253,202,165.69
3000000,9.20,34931,200,291.55
3300000,9.20,35179,235,429.98
3600000,9.22,35029,243,555.84
