ts,avg_bwd,msgs,sys_time
0,0.00,0,0,16.78
300000,7.59,30757,203,37.57
600000,7.38,27234,96,45.76
900000,7.83,30349,73,64.89
1200000,7.23,26303,91,146.72
1500000,7.38,27517,72,77.44
1800000,7.74,28659,71,14.56
2100000,7.59,27889,64,102.68
2400000,7.34,27614,77,184.51
2700000,7.50,28540,104,278.93
3000000,7.55,28697,87,52.39
3300000,7.60,29583,68,146.81
3600000,7.32,28566,65,234.93
