ts,avg_bwd,msgs,sys_time
0,0.00,0,0,5.01
300000,344.59,1413498,706,11.69
600000,360.87,1360408,647,14.01
900000,360.21,1359656,630,16.44
1200000,360.21,1367754,640,18.95
1500000,360.37,1366521,646,20.84
1800000,359.76,1367139,639,24.90
2100000,359.80,1364871,639,28.81
2400000,360.49,1368676,643,34.59
2700000,360.68,1365304,644,5.80
3000000,360.12,1371012,647,13.74
3300000,360.08,1355005,639,21.93
3600000,360.44,1372521,645,31.07
